LRp0m1_F1_OGLE5_140424  267.586083  -29.978417  13.165  12.714   -35.49    2.07  -0.33
LRp0m1_F1_OGLE5_141397  267.579292  -29.967806  13.403  12.906   205.39    2.27  -0.65
LRp0m1_F1_OGLE5_145942  267.581750  -29.939000  12.988  12.243   260.45    2.38  -0.10
LRp0m1_F1_OGLE5_146182  267.578708  -29.913722  12.902  12.252  -108.56    1.26  -0.56
LRp0m1_F1_OGLE5_146229  267.580250  -29.908917  13.428  12.874   182.52    1.30  -0.31
LRp0m1_F1_OGLE5_146287  267.575875  -29.903250  13.329  12.811    79.86    1.59  -0.21
LRp0m1_F1_OGLE5_146309  267.586542  -29.901583  13.194  12.665     9.97    1.74   0.33
LRp0m1_F1_OGLE5_146380  267.580667  -29.894583  13.208  12.647  -190.48    1.60   0.43
LRp0m1_F1_OGLE5_146395  267.562583  -29.893000  13.365  12.818   286.00    2.10  -0.53
LRp0m1_F1_OGLE5_147055  267.589667  -29.919556  13.540  12.955  -137.89    1.80   0.13
LRp0m1_F1_OGLE5_147352  267.566042  -29.903861  13.331  12.729   107.96    1.53  -0.05
LRp0m1_F1_OGLE5_147386  267.539958  -29.902250  12.885  12.332  -184.83    1.42  -0.49
LRp0m1_F1_OGLE5_147391  267.551333  -29.902167  13.559  13.031    95.45    1.66  -0.49
LRp0m1_F1_OGLE5_147623  267.547792  -29.890972  13.243  12.803  -249.90    2.64  -0.44
LRp0m1_F1_OGLE5_152585  267.537250  -29.868583  13.055  12.534   121.49    1.67   0.21
LRp0m1_F1_OGLE5_152977  267.544333  -29.887806  13.499  13.082    49.91    2.11  -0.68
LRp0m1_F1_OGLE5_153150  267.557208  -29.880111  13.099  12.509   -59.24    2.04   0.21
LRp0m1_F1_OGLE5_153175  267.584083  -29.879139  13.487  12.907    40.10    1.39  -0.69
LRp0m1_F1_OGLE5_159138  267.588000  -29.809500  12.988  12.451  -118.18    1.25  -0.47
LRp0m1_F1_OGLE5_159390  267.524292  -29.782833  12.858  12.408   160.56    4.64  -0.61
LRp0m1_F1_OGLE5_165688  267.536083  -29.764500  12.765  12.276   -96.04    1.61  -0.62
LRp0m1_F1_OGLE5_165967  267.537125  -29.740500  12.762  12.414   -68.30    1.14  -0.21
LRp0m1_F1_OGLE5_166538  267.542167  -29.763306  13.673  13.237   -98.95    2.44  -0.47
LRp0m1_F1_OGLE5_172690  267.551833  -29.708361  13.126  12.577   108.30    1.91   0.17
LRp0m1_F1_OGLE5_238258  267.619667  -30.069389  13.387  12.809  -240.53    1.35   0.21
LRp0m1_F1_OGLE5_239211  267.597958  -30.075917  13.563  12.895    78.24    1.46  -0.37
LRp0m1_F1_OGLE5_245650  267.647667  -30.047333  13.684  13.132  -122.96    1.29  -0.54
LRp0m1_F1_OGLE5_245853  267.637167  -30.037056  13.766  13.322   -55.91    1.14  -0.81
LRp0m1_F1_OGLE5_251908  267.614667  -29.968472  13.715  13.432   -28.00    2.29  -1.13
LRp0m1_F1_OGLE5_251986  267.657917  -29.962083  13.324  12.685   -50.60    1.45   0.11
LRp0m1_F1_OGLE5_252158  267.655625  -29.947444  13.062  12.384    21.57    1.41  -0.06
LRp0m1_F1_OGLE5_252427  267.626000  -29.994889  13.577  13.171   -20.39    1.26  -0.79
LRp0m1_F1_OGLE5_252951  267.656000  -29.970083  13.575  13.063    63.78    1.21  -0.59
LRp0m1_F1_OGLE5_253149  267.637417  -29.959694  13.597  13.014    83.88    1.16  -0.32
LRp0m1_F1_OGLE5_253214  267.645833  -29.956444  13.661  13.039   110.73    1.49  -0.28
LRp0m1_F1_OGLE5_258772  267.595750  -29.906861  13.524  13.090     2.65    1.45   0.14
LRp0m1_F1_OGLE5_258924  267.638208  -29.889361  12.996  12.396   205.05    1.61   0.17
LRp0m1_F1_OGLE5_258975  267.638167  -29.945944  13.376  12.874   139.15    1.64   0.09
LRp0m1_F1_OGLE5_259077  267.656375  -29.941306  13.545  13.003   202.91    1.72  -0.12
LRp0m1_F1_OGLE5_259317  267.652125  -29.928167  13.714  13.169   -55.08    1.44  -0.10
LRp0m1_F1_OGLE5_259483  267.653292  -29.919528  13.447  12.956    -9.72    4.45  -0.23
LRp0m1_F1_OGLE5_259485  267.603458  -29.919361  13.577  13.118    39.95    1.69  -0.46
LRp0m1_F1_OGLE5_259700  267.604542  -29.907972  13.292  12.767   -88.05    1.61   0.11
LRp0m1_F1_OGLE5_264825  267.639667  -29.879028  13.646  13.279   -61.81    2.79  -2.08
